name,category,unit,calories,protein_g,carbs_g,fat_g,fibre_g,allergen_tags,source,source_code,data_confidence
"Flour, soy, defatted",Legumes,100g,366.0,51.1,32.9,3.33,24.3,"Gluten, Soy",USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1104705,measured
"Flour, spelt, whole grain",Grains,100g,363.68,14.48,70.72,2.54,9.34,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003587,measured
"Flour, wheat, all-purpose, unenriched, unbleached",Grains,100g,362.0,12.0,74.6,1.7,3.0,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_790018,measured
"Flour, whole wheat, unenriched",Grains,100g,370.0,15.1,71.2,2.73,10.6,Gluten,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_790085,measured
"Fonio, grain, dry, raw",Grains,100g,369.13,7.17,81.31,1.69,2.2,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710829,measured
"Garlic, raw",Vegetables,100g,143.0,6.62,28.2,0.38,2.7,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_1104647,measured
"Grapefruit juice, white, canned or bottled, unsweetened",Fruits,100g,37.0,0.55,7.59,0.7,0.2,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_325287,measured
"Hummus, commercial",Legumes,100g,229.0,7.35,14.9,17.1,5.4,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_321358,measured
"Kale, raw",Vegetables,100g,35.0,2.92,4.42,1.49,4.1,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_323505,measured
"Khorasan, grain, dry, raw",Grains,100g,371.4,14.76,71.79,2.8,10.52,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710830,measured
"Kiwifruit (kiwi), green, peeled, raw",Fruits,100g,65.06,1.01,13.82,0.64,2.13,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710831,measured
"Kiwifruit, green, raw",Fruits,100g,58.0,1.06,14.0,0.44,3.0,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_327046,measured
"Lettuce, cos or romaine, raw",Vegetables,100g,17.0,1.24,3.24,0.26,1.8,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_327923,measured
"Mandarin, seedless, peeled, raw",Fruits,100g,61.96,1.04,13.42,0.46,1.33,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710832,measured
"Mango, Ataulfo, peeled, raw",Fruits,100g,78.47,0.69,17.4,0.68,1.29,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710834,measured
"Mango, Tommy Atkins, peeled, raw",Fruits,100g,68.46,0.56,15.26,0.57,1.75,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710833,measured
"Melons, cantaloupe, raw",Fruits,100g,34.0,0.82,8.16,0.18,0.8,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_327198,measured
"Millet, whole grain",Grains,100g,375.62,10.02,74.45,4.19,2.62,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2512379,measured
"Mushroom, beech",Vegetables,100g,39.8,2.18,6.76,0.45,3.14,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003603,measured
"Mushroom, crimini",Vegetables,100g,30.2,3.09,4.01,0.2,1.78,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003601,measured
"Mushroom, enoki",Vegetables,100g,44.44,2.42,8.14,0.24,2.94,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003600,measured
"Mushroom, king oyster",Vegetables,100g,46.4,2.41,8.5,0.31,3.01,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2003599,measured
