name,category,unit,calories,protein_g,carbs_g,fat_g,fibre_g,allergen_tags,source,source_code,data_confidence
"Peppers, bell, green, raw",Vegetables,100g,22.93,0.72,4.78,0.11,0.94,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2258588,measured
"Peppers, bell, orange, raw",Vegetables,100g,31.74,0.88,6.7,0.16,0.97,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2258591,measured
"Peppers, bell, red, raw",Vegetables,100g,31.33,0.9,6.65,0.13,1.16,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2258590,measured
"Peppers, bell, yellow, raw",Vegetables,100g,30.77,0.82,6.6,0.12,1.07,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2258589,measured
"Peppers, jalapeno, seeded, raw",Vegetables,100g,24.13,0.62,5.08,0.15,1.72,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747661,measured
"Peppers, poblano, seeded, raw",Vegetables,100g,27.99,1.43,5.14,0.19,2.07,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747662,measured
"Peppers, serrano, seeded, raw",Vegetables,100g,29.23,0.86,6.14,0.14,2.52,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2747663,measured
"Pickles, cucumber, dill or kosher dill",Vegetables,100g,12.0,0.48,1.99,0.43,1.0,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_324653,measured
"Pineapple, raw",Fruits,100g,60.11,0.46,14.09,0.21,0.93,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2346398,measured
"Plantains, overripe, raw",Fruits,100g,130.34,1.17,29.19,0.99,1.79,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710843,measured
"Plantains, ripe, raw",Fruits,100g,136.47,1.16,30.95,0.89,2.12,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710817,measured
"Plantains, underripe, raw",Fruits,100g,145.43,1.23,33.59,0.68,2.53,,USDA FoodData Central - Foundation Foods (2026-04-30),USDA_2710818,measured
